"Gender","What country do you live in?","If United States, what state?","What is your age?","What is the highest level of education you have completed?","If you obtained more than an Bachelor's (Undergraduate) Degree (like a Masters or PhD), would you recommend it?","Job status","Income in US Dollars per year","How long have you been working?","If employed, what is your current job title (without the GIS)?","Is ""GIS"" officially in your job title?","What industry do you work in?","What desktop GIS software do you use?","What desktop GIS software do you mainly use?","If ArcGIS, are you using Pro?","Do you use any design software to finish your maps?","Is your work primarily vector or raster based?","Apart from GIS software, what other software do you use for your work?","Does your work require programming?","Database of choice?","Do you have a professional certification?","If you obtained a professional certification, did your employer pay for it?","If you obtained a professional certification, did you get a raise as a result?","How many screens/monitors do you use for your work?","Does (or did before COVID) you job require any field work?","How has the COVID-19 pandemic affected you in regard to the GIS profession?","Are you currently work from home due to COVID-19? ","Will you continue to work from home for the long term?","How happy are you with your choice of GIS as profession?","How optimistic are you about the future of GIS as a profession?","Should we ban memes?"
"Male","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","0","2-5 years","Coordinator","No","Natural Resources","ArcGIS;Google Earth;QGIS","ArcGIS","A bit","No","Vector","Access;GIMP;Pix4D;PyCharm;Python;SQL Server","Python","SQL Server","No",,,"2","Yes - More than once a year","Not much difference","I was, but back in the office now","No","7","5","Yes"
"Male","Europe",,"18 to 24","High School or equivalent","Maybe","Student - University/College","13000","Not employed.","Not in GIS field","No","Public Health","ArcGIS;AutoCAD;Google Earth;QGIS","QGIS","Exclusively","No","50/50","Matlab;Python","Not yet","None (ShapeFiles baby)","No",,,"1","Yes - Once a month","Positively","Yes","To some extent","8","10","No"
"Female","United States","Wisconsin","25 to 34","Master's Degree","Yes","Mid level","75000","5-10 years","Specialist","No","Local Government","ArcGIS;AutoCAD","ArcGIS","No","No","Vector","Access;FME;Microstation","No","File Geodatabase (ESRI)","No","No","No","2","Yes - More than once a month","Not much difference","Yes","To some extent","10","10","No"
"Male","United States","Texas","25 to 34","2-Year Degree (Technical, Certificate, Associate's, etc)",,"Mid level","52000","2-5 years","Coordinator","Yes","Utilities","ArcGIS;AutoCAD","ArcGIS","Exclusively","No","Vector","GIMP;PostGIS","No","PostgreSQL","No",,,"3","Yes - More than once a month","Not much difference","I was, but back in the office now","To some extent","7","8","Don't care"
"Male","United States","Pennsylvania","35 to 44","Bachelor's (Undergraduate) Degree",,"Above mid level, not management","95000","11-25 years","Solutions Engineer","No","GIS","ArcGIS","ArcGIS","50/50","No","50/50","Python;SQL Server;VS Code;fucking excel","Python;SQL","PostgreSQL","Security+","Yes","No","2","No","Not much difference","I was already working from home","I was already working from home","9","8","Don't care"
"Male","United States","Tennessee","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","60000","5-10 years","Specialist","Yes","Local Government","ArcGIS;Google Earth","ArcGIS","50/50","No","Vector","PyCharm;Python;SQL Server","Python;SQL","SQL Server","No",,,"3","No","Negatively","I was, but back in the office now","To some extent","7","6","haha memes go brrrr"
"Other / Prefer not to say","United States","Maine","25 to 34","Master's Degree","Yes","Entry level","50474.94","Under 1 year","Analyst","Yes","Engineering","ArcGIS;Global Mapper","ArcGIS","No","No","Vector","FME;PyCharm;Python;VS Code","No","File Geodatabase (ESRI)","No",,,"2","Yes - More than once a year","Not much difference","Yes","To some extent","9","10","No"
"Male","United States","Colorado","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","100000","11-25 years","Analyst","Yes","Forestry","ArcGIS","ArcGIS","Primarily","No","50/50","PyCharm;Python;SQL Server;VS Code","Python;SQL","SQL Server","No",,,"Laptop/tablet only","No","Not much difference","Yes","To some extent","7","7","Don't care"
"Male","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","50000","2-5 years","Analyst","Yes","GIS","ArcGIS","ArcGIS","Primarily","No","Vector","Python","Python","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","Yes","8","8","haha memes go brrrr"
"Male","Canada",,"18 to 24","Bachelor's (Undergraduate) Degree",,"Student - University/College","28000","Under 1 year","Research Assistant","No","Academia","ArcGIS;Google Earth","ArcGIS","Exclusively","No","50/50","GDAL;Python;R;VS Code","Python;R","File Geodatabase (ESRI)","No",,,"3","No","Not much difference","Yes","To some extent","8","8","No"
"Male","Australia",,"25 to 34","Master's Degree","Maybe","Mid level","62000","5-10 years","Specialist","No","Telecommunications","Google Earth;MapInfo;QGIS","Manifold",,"No","Vector","GDAL;PostGIS;Python","No","PostgreSQL","No",,,"2","Yes - More than once a year","Not much difference","No","To some extent","9","10","No"
"Male","United States","Wisconsin","25 to 34","High School or equivalent",,"Student - University/College","20000","Under 1 year","Intern","No","Utilities","ArcGIS","ArcGIS","Primarily","No","Vector",,"No","None (ShapeFiles baby)","No",,,"2","No","Not much difference","No","No","7","7","No"
"Male","Germany",,"25 to 34","Master's Degree","Yes","Mid level","72000","2-5 years","Developer","Yes","Consulting","QGIS","QGIS",,"Illustrator","Vector","GDAL;PostGIS;PyCharm;Python;R;VS Code","Python;SQL","PostgreSQL","No",,,"2","No","Not much difference","Yes","Yes","8","5","Don't care"
"Male","Other",,"25 to 34","Master's Degree","Yes","Self employed (Entrepreneur, Freelancer, etc..)","40000","2-5 years","Support Specialist","Yes","GIS","ArcGIS;ENVI;Global Mapper;Google Earth;GRASS;QGIS","QGIS","No","Illustrator;GIMP","50/50","Pix4D;PostGIS;Python;R","No;Python","SQLite (SpatiaLite, GeoPackage)","No","No","No","2","Yes - More than once a month","Negatively","No","To some extent","10","10","haha memes go brrrr"
"Male","Other",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","31800","5-10 years","Developer","No","Insurance","None","None","No","No","Vector","PostGIS;Python;SQL Server;VS Code","Java","PostgreSQL","No",,,"2","No","Not much difference","Yes","Yes","7","4","No"
"Male","United States","Georgia","25 to 34","Master's Degree","Maybe","Mid level","73000","2-5 years","Consultant","Geospatial","Consulting","ArcGIS;Google Earth;QGIS","ArcGIS","Primarily","InkScape","Vector","FME;GDAL;PostGIS;Python;SQL Server;VS Code","Python;SQL;JavaScript","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","Yes","8","9","No"
"Female","United States","Missouri","35 to 44","Doctorate degree","Depends on what field you want to go in to","Mid level","105000","5-10 years","Data and Content Manager","No","Defense","ArcGIS;ENVI;Google Earth","ArcGIS","Primarily","No","50/50","Access;PostGIS;Python;R;SQL Server","Python;SQL","Oracle","GEOINT Professional Certification ","Yes","No","2","No","Negatively","Yes","To some extent","10","10","haha memes go brrrr"
"Male","United States","Oregon","25 to 34","Master's Degree","Yes","Mid level","93000","2-5 years","Analyst","No","Healthcare ","ArcGIS;R","Other","Primarily","No","Vector","PostGIS;R;Oracle","Python;SQL;JavaScript;R","PostgreSQL","No",,,"3","No","Positively","I was already working from home","Yes","10","8","haha memes go brrrr"
"Female","United Kingdom",,"25 to 34","Master's Degree","Yes","Mid level","50000","5-10 years","Analyst","Yes","Consulting","ArcGIS;QGIS","ArcGIS","50/50","No","Vector","FME;Python","No","SQL Server","Esri technical certification, due CGeog this year","Yes","No","2","No","Positively","Yes","Yes","9","9","No"
"Male","Germany",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Mangement","55000","5-10 years","Cartographer","No","Environmental","ArcGIS;AutoCAD;Google Earth;GRASS;Manifold;QGIS","ArcGIS","A bit","No","50/50","Access;GDAL;GIMP;InDesign;PostGIS","No","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","I was, but back in the office now","No","7","8","haha memes go brrrr"
"Female","United States","New York","25 to 34","Master's Degree","Maybe","Entry level","64000","Under 1 year","Analyst","No","Local Government","ArcGIS","ArcGIS","Primarily","No","Vector","PyCharm;Python;R;SQL Server","Python","File Geodatabase (ESRI)","No",,,"1","No","Positively","Yes","No","7","4","No"
"Male","United States","North Carolina","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","45000","5-10 years","Developer","No","IT","ArcGIS;QGIS","QGIS","Primarily","InkScape;GIMP","Vector","FME;GDAL;GIMP;PostGIS;Python;SQL Server;VS Code","Python;SQL;JavaScript","PostgreSQL","No",,,"3","No","Not much difference","I was already working from home","I was already working from home","6","5","haha memes go brrrr"
"Male","United States","Washington","25 to 34","Bachelor's (Undergraduate) Degree",,"Looking for work","20000","Not employed.",,,,"ArcGIS","ArcGIS",,"No",,,"Not employed","unemployed","No",,,"2",,,,,"5","6","haha memes go brrrr"
"Male","United States","Ohio","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","60000","2-5 years","IT GIS Analyst","No","Utilities","ArcGIS;AutoCAD","ArcGIS","Primarily","No","Vector","FME;Python;SQL Server;VS Code;Excel","Python;SQL;.NET;C#;JavaScript","Oracle","No",,,"2","No","Positively","Yes","Yes","9","8","Don't care"
"Male","United States","Washington","25 to 34","Master's Degree","Maybe","Mid level","96000","5-10 years","Developer","No","Local Government","ArcGIS","ArcGIS","No","No","Vector","Access;FME;Python;SQL Server","Python;SQL;JavaScript","SQL Server","No",,,"2","Yes - More than once a week","Not much difference","Yes","To some extent","9","9","Don't care"
"Male","Other",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","3600","2-5 years","Analyst","Yes","Consulting","ArcGIS;AutoCAD;ENVI;ERDAS;Global Mapper;Google Earth;GRASS;QGIS","ArcGIS","50/50","Illustrator;PhotoShop;InkScape","50/50","Access;PostGIS;PyCharm;Python;SQL Server;VS Code","No","File Geodatabase (ESRI)","Isk","No","No","2","Yes - Once a month","Positively","No","No","10","10","Don't care"
"Male","United States","California","35 to 44","Master's Degree","Maybe","Mid level","75000","11-25 years","Specialist","Yes","Academia","ArcGIS;AutoCAD;Google Earth;GRASS;QGIS","ArcGIS","Exclusively","PhotoShop","50/50","FME;GDAL;Pix4D;Python;R;Rhino","Python;R","File Geodatabase (ESRI)","No",,,"2","Yes - Once a month","Not much difference","Yes","To some extent","8","8","No"
"Male","United States","Virginia","18 to 24","Bachelor's (Undergraduate) Degree","Maybe","Entry level","60000","1-2 years","Analyst","Yes","GIS","ArcGIS;QGIS","ArcGIS","Primarily","No","Vector","Python;PostgreSQL","Python","PostgreSQL and ESRI Geodatabases","No","Yes","No","2","No","Not much difference","Yes","Yes","8","8","No"
"Male","Other",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","10000","5-10 years","Developer","No","IT","AutoCAD;Global Mapper;Google Earth;GRASS;QGIS","QGIS",,"No","50/50","PostGIS;Python;VS Code","Python;SQL;JavaScript","PostgreSQL","No",,,"2","Yes - More than once a week","Negatively","I was already working from home","To some extent","7","8","No"
"Male","United States","Maryland","25 to 34","Master's Degree","Yes","Mid level","60000","2-5 years","Specialist","Yes","Environmental","ArcGIS;Google Earth;QGIS","ArcGIS","Primarily","No","Vector","GDAL;Python;VS Code","Python","File Geodatabase (ESRI)","No",,,"3","Yes - Once a month","Positively","Yes","To some extent","8","7","No"
"Male","United States","California","18 to 24","Bachelor's (Undergraduate) Degree","Yes","Entry level","23000","1-2 years","Intern","Yes","Transportation","ArcGIS;Google Earth;GRASS","ArcGIS","No","No","50/50","Access;Python","Python","MySQL","No",,,"2","No","Positively","Yes","To some extent","8","6","Don't care"
"Male","United States","Louisiana","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","51000","2-5 years","Database Administrator","Yes","Public Safety","ArcGIS","ArcGIS","No","No","Vector","Access;Python","Python;JavaScript","File Geodatabase (ESRI)","No",,,"4+","Yes - More than once a year","Not much difference","No",,"9","9","No"
"Male","United States","Colorado","25 to 34","Master's Degree","Yes","Mid level","75000","2-5 years","Coordinator","Yes","Natural Resources","ArcGIS;Google Earth;QGIS;R, GEE","ArcGIS","Primarily","No;IT software licensing restrictions, I would use photoshop if I could","50/50","GDAL;R;GEE","No;not required but it makes my life much easier","File Geodatabase (ESRI)","No",,,"Laptop/tablet only","Yes - Once a year","Not much difference","Yes","Yes","6","7","No"
"Male","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","80000","5-10 years","Research Analyst","No","Consulting","Google Earth;QGIS","QGIS",,"No","Vector","PostGIS;Python;SQL Server","No","PostgreSQL","No",,,"1","No","Not much difference","Yes","Yes","8","8","haha memes go brrrr"
"Female","United States","Washington","25 to 34","Bachelor's (Undergraduate) Degree",,"Student - University/College","21000","2-5 years",,,,"QGIS","QGIS",,"No",,"R","No","None (ShapeFiles baby)","No",,,"2","Yes - Once a week","Not much difference","No","No","10","8","No"
"Male","United States","Tennessee","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","55000","Under 1 year","Analyst","No","GIS","ArcGIS","ArcGIS","Primarily","No","Vector","Python","Python","File Geodatabase (ESRI)","No",,,"2","No","Positively","Yes","No","9","8","haha memes go brrrr"
"Male","Europe",,"18 to 24","Bachelor's (Undergraduate) Degree",,"Student - University/College","0","Not employed.",,,,"ArcGIS;Google Earth;QGIS;SNAP","QGIS","No","No",,,"not working yet","File Geodatabase (ESRI)","No",,,"Laptop/tablet only",,,,,"8","8","No"
"Female","United States","Missouri","25 to 34","Master's Degree","Yes","Mid level","70000","2-5 years","Project Manager","No","Non-Profit","ArcGIS;Google Earth","ArcGIS","Primarily","No","50/50",,"No","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","Yes","7","7","haha memes go brrrr"
"Male","Other",,"25 to 34","Bachelor's (Undergraduate) Degree","No","Self employed (Entrepreneur, Freelancer, etc..)","20","2-5 years","Research Analyst","No","Environmental","ArcGIS;ENVI;Google Earth;GRASS;QGIS","ENVI","No","Illustrator;PhotoShop","Raster","Pix4D","Python;JavaScript;Java","PostgreSQL","GISP","No",,"2","No","Not much difference","Yes","To some extent","8","8","No"
"Female","United States","Texas","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","74000","11-25 years","Analyst","Yes","Oil and Gas","ArcGIS","ArcGIS","No","No","Vector","Access;FME;R;Alteryx","No","Oracle","No",,,"2","Yes - More than once a year","Not much difference","Yes","To some extent","9","8","Don't care"
"Male","United Kingdom",,"25 to 34","Master's Degree","Yes","Mid level","49000","1-2 years","Specialist","Yes","Telecommunications","ArcGIS;Global Mapper;Google Earth;QGIS","ArcGIS","Exclusively","Illustrator;PhotoShop","50/50","Access;PostGIS","SQL","PostgreSQL","No",,,"3","No","Positively","Yes","Yes","10","10","haha memes go brrrr"
"Male","United States","Michigan","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","48000","5-10 years","Specialist","Yes","Environmental","ArcGIS;AutoCAD","ArcGIS","A bit","No","50/50","Access;Microstation","No","File Geodatabase (ESRI)","No",,,"2","Yes - More than once a month","Not much difference","I was, but back in the office now","No","9","5","haha memes go brrrr"
"Female","United States","Colorado","18 to 24","Master's Degree","Yes","Mid level","74000","1-2 years","Solutions Engineer",,"GIS","ArcGIS","ArcGIS","Exclusively","No","Vector","Python;SQL Server","No;Python","SQL Server","No",,,"2","Yes - More than once a year","Not much difference","Yes","To some extent","10","10","No"
"Male","United States","Georgia","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","75000","2-5 years","Analyst","Yes","Real Estate","ArcGIS;Google Earth","ArcGIS","Exclusively","No","Vector","Python","No","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","To some extent","8","6","No"
"Female","United States","Arkansas","25 to 34","Master's Degree","Degree in other field","Mid level","44000","2-5 years","Analyst","Yes","Local Government","ArcGIS","ArcGIS","No","No","Vector",,"No","File Geodatabase (ESRI)","No",,,"3","No","Not much difference","Yes","No","10","10","Don't care"
"Female","United States","Alabama","18 to 24","High School or equivalent",,"Student - University/College","10000","Under 1 year","Intern","Yes","Utilities","ArcGIS;ERDAS;Google Earth","ArcGIS","A bit","No","Vector","Python;SQL Server;VS Code","SQL","SQL Server","No",,,"2","Yes - More than once a week","Not much difference","No","No","8","8","haha memes go brrrr"
"Male","United States","Tennessee","25 to 34","Master's Degree","Maybe","Mangement","44000","2-5 years","Manager","Yes","Local Government","ArcGIS;QGIS","ArcGIS","A bit","No","Vector","Access;GDAL;GIMP;PostGIS;Python;SQL Server;VS Code","Python;SQL;JavaScript","SQL Server","No",,,"3","Yes - Once a week","Positively","No","No","8","10","No"
"Male","United States",,"25 to 34","Master's Degree","Maybe","Mangement","152000","11-25 years","Consultant","Yes","Consulting","ArcGIS;QGIS","ArcGIS","50/50","No","50/50","GDAL;PostGIS;Python;R;SAS;SQL Server","Python;SQL;JavaScript","PostgreSQL","GISP","Yes","No","2","No","Not much difference","I was already working from home","I was already working from home","10","10",
"Male","United States","Virginia","25 to 34","Master's Degree","Yes","Mid level","89000","5-10 years","Developer","No","Consulting","ArcGIS","ArcGIS","Primarily","No","Vector","PostGIS;PyCharm;Python;SQL Server","Python;SQL","PostgreSQL","No",,,"3","No","Not much difference","Yes","Yes","8","5","Yes"
"Male","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","96000","5-10 years","Analyst","Yes","Local Government","ArcGIS;AutoCAD","ArcGIS","Primarily","No","Vector","Python;SQL Server","No","SQL Server","No",,,"2","No","Positively","I was, but back in the office now","No","8","7","Don't care"
"Male","United States","Virginia","45 to 54","Bachelor's (Undergraduate) Degree",,"Mangement","66500","26 or more years","Manager","Yes","Local Government","ArcGIS","ArcGIS","Primarily","No","Vector","Python;SQL Server","Python","SQL Server","GISP","Yes","Yes","2","Yes - More than once a month","Not much difference","I was, but back in the office now","To some extent","6","9","Don't care"
"Male","Australia",,"35 to 44","Master's Degree","Yes","Mid level","90000","5-10 years","Specialist","No","Utilities","ArcGIS;MapInfo;QGIS","ArcGIS","Exclusively","Illustrator","Vector","FME;GDAL;PostGIS;Python;SQL Server;VS Code;Web Dev","Python;SQL;JavaScript","SQL Server","No",,,"3","No","Positively","Yes","To some extent","10","10","haha memes go brrrr"
"Male","United States","Missouri","25 to 34","Master's Degree","Yes","Mid level","50000","1-2 years","Analyst","No","GIS","ArcGIS","ArcGIS","A bit","No","Vector","Python;R;SQL Server","SQL","SQL Server","No",,,"2","No","Not much difference","Yes","To some extent","9","9","No"
"Male","United States","Tennessee","25 to 34","Master's Degree","Yes","Mid level","67000","5-10 years","Manager","Yes","Defense","ArcGIS;AutoCAD","ArcGIS","No","No","Vector","PyCharm;Python;SQL Server","Python;SQL","File Geodatabase (ESRI)","No",,,"3","No","Not much difference","No",,"7","7","No"
"Other / Prefer not to say","Europe",,"18 to 24","Federal VET Diploma in Geomatics",,"Student - University/College","8500","1-2 years","Electrical Engineering Intern","No","Engineering","ArcGIS;AutoCAD;Google Earth;GRASS;QGIS;GeoMedia, GEOS Pro","Other","No","No","Vector",,"No","SQLite (SpatiaLite, GeoPackage)","Federal VET Diploma in Geomatics",,,"2","Yes - More than once a month","Not much difference","No","No","3","6","haha memes go brrrr"
"Female","United States","Arkansas","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","48000","1-2 years","Scientist","No","Environmental","ArcGIS;Google Earth;GRASS;QGIS","QGIS","A bit","No","Vector","Access;SQL Server","No","File Geodatabase (ESRI)","No",,,"3","No","Not much difference","Yes","To some extent","9","9","haha memes go brrrr"
"Female","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","50000","1-2 years","Coordinator","No","Energy","ArcGIS;AutoCAD;Google Earth","ArcGIS","Exclusively","No","Raster",,"No","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","Yes","7","10","No"
"Female","United States","California","35 to 44","Master's Degree","If you can get tuition covered. I came from another field, and got a research assistant stipend & covered tuition for my MS.","Mid level","65000","5-10 years","Analyst","Yes","Archaeology","ArcGIS;Google Earth;QGIS","ArcGIS","A bit","No","50/50","Access;GIMP;Python;SQL Server;Excel, Pathfinder, in-house custom databases","Python;SQL;JavaScript;A few processes are still in vba! Not used very often, but might be updated if it can fit into billable hours.","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","To some extent","7","7","haha memes go brrrr"
"Male","Canada","Not United States","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","45000","1-2 years","Analyst","Yes","Consulting","ArcGIS;AutoCAD;Global Mapper","ArcGIS","A bit","No","Vector","FME;SQL Server","No","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","Yes","8","7","haha memes go brrrr"
"Male","United States","New Jersey","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","70000","5-10 years","Analyst","Yes","GIS","ArcGIS;AutoCAD;Google Earth","ArcGIS","Primarily","No","Vector","FME;SQL Server","No","SQL Server","No",,,"2","Yes - More than once a year","Not much difference","Yes","Yes","10","10","Don't care"
"Male","United States","Virginia","25 to 34","High School or equivalent",,"Mid level","113000","5-10 years","Consultant","No","Defense","ArcGIS;ENVI;Global Mapper","ArcGIS","Exclusively","InkScape","50/50","GDAL;PostGIS;Python;Jupiter Notebooks","Python;SQL;JavaScript","PostgreSQL","No",,,"2","Yes - More than once a year","Not much difference","Yes","Yes","10","10","haha memes go brrrr"
"Female","United States","North Carolina","35 to 44","Graduate Certificate (like a Master's without a thesis)","Not sure.  I have been able to find employment in the field yet and have been searching for two years.","Looking for work","0","Not employed.","Not employed","Not applicable.  ","Did it ever occur to you that there might be people that cannot find jobs right now?","ArcGIS;Google Earth;MapInfo","Other","Exclusively","If I was employed, I would definitely experiment with design software.  ArcGIS Pro is frustratingly clunky and limited.","50/50","Not applicable","Yes","Personal Geodatabase (ESRI)","No",,,,,,,,"1","1","Don't care"
"Male","United States","Michigan","25 to 34","Master's Degree","Maybe","Mid level","50000","2-5 years","Analyst","Yes","Local Government","ArcGIS;Google Earth","ArcGIS","A bit","No","Vector","GIMP;Pix4D;Python;SQL Server","Python","File Geodatabase (ESRI)","No",,,"3","Yes - More than once a year","Positively","I was, but back in the office now",,"8","8","haha memes go brrrr"
"Male","United States","Washington","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","103000","2-5 years","Developer","No","Local Government","ArcGIS;QGIS","QGIS","A bit","No","Vector","Access;GDAL;PostGIS;Python;SQL Server;VS Code","Python;SQL;.NET;C#;JavaScript","PostgreSQL","No",,,"2","No","Not much difference","Yes","Yes","8","5","haha memes go brrrr"
"Male","United States","California","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","97000","11-25 years","Manager","Yes","Local Government","ArcGIS;Google Earth;QGIS","ArcGIS","Primarily","InkScape","Vector","GIMP;PostGIS;Python;SQL Server;VS Code","No","SQL Server","No",,,"2","Yes - Once a month","Positively","Yes","To some extent","9","7","No"
"Male","United States","California","25 to 34","Master's Degree","Yes","Entry level","59000","2-5 years","Analyst","Yes","Consulting","ArcGIS;Google Earth","ArcGIS","50/50","No","Vector","PyCharm;Python","No","File Geodatabase (ESRI)","No",,,"2","Yes - Once a week","Not much difference","Yes","To some extent","9","8","haha memes go brrrr"
"Male","Other",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","5900","1-2 years","Staff","No","Central Government","ArcGIS;AutoCAD;ENVI;Global Mapper;QGIS;MB-System","QGIS","No","No","Vector","Pix4D","No","None (ShapeFiles baby)","No",,,"Laptop/tablet only","Yes - More than once a month","Not much difference","I was, but back in the office now","To some extent","8","8","haha memes go brrrr"
"Male","Europe",,"25 to 34","Master's Degree","Yes","Self employed (Entrepreneur, Freelancer, etc..)","50000","5-10 years","Consultant","Yes","NGO","ArcGIS;QGIS","ArcGIS","Exclusively","Illustrator;PhotoShop","50/50","InDesign;Pix4D","No","File Geodatabase (ESRI)","No",,,"1","Yes - Most days","Negatively","Yes","To some extent","8","8","Don't care"
"Male","Europe",,"35 to 44","Doctorate degree","Maybe","Self employed (Entrepreneur, Freelancer, etc..)","50000","11-25 years","Project Manager","No","Environmental","ArcGIS;Google Earth;GRASS;QGIS;R statistics","ArcGIS","No","Illustrator","50/50","Access;Python;R","Python","PostgreSQL","No",,,"2","Yes - More than once a month","Negatively","I was already working from home","To some extent","10","9","No"
"Female","United States","California","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","120000","11-25 years","Analyst","No","Utilities","ArcGIS","ArcGIS","A bit","No","Vector","Access;FME;Python;VS Code","Python;SQL;C#;JavaScript","MySQL","GISP","No","No","2","No","Not much difference","Yes","To some extent","7","3","Don't care"
"Male","United States",,"35 to 44","Bachelor's (Undergraduate) Degree",,"Student - University/College","0","Not employed.",,,,"ArcGIS;ENVI","ArcGIS","Exclusively","No","Raster","R","Python;R","Personal Geodatabase (ESRI)","No",,,"2",,,,,"7","9","No"
"Male","United States","North Carolina","25 to 34","Bachelor's (Undergraduate) Degree","No","Mid level","82000","5-10 years","Engineer","No","Defense","ArcGIS;ENVI;Global Mapper;QGIS","ArcGIS","Primarily","No","Raster","GDAL;Python","Python","SQLite (SpatiaLite, GeoPackage)","No",,,"3","No","Not much difference","Yes","Yes","8","7","haha memes go brrrr"
"Male","United Kingdom",,"45 to 54","Bachelor's (Undergraduate) Degree",,"Mid level","0","26 or more years","Consultant","No","Civil Engineering","AutoCAD;Google Earth;MapInfo;QGIS","MapInfo",,"No","50/50","Excel.Word.InfoWorks ICM","No","None (ShapeFiles baby)","No","No","No","2","Yes - More than once a year","Not much difference","Yes","To some extent","6","7","Don't care"
"Male","United States","New Hampshire","25 to 34","Bachelor's (Undergraduate) Degree",,"Mangement","87000","2-5 years","Manager","Yes","Telecommunications","ArcGIS","ArcGIS","Primarily","No","Vector",,"Python;SQL","File Geodatabase (ESRI)","GISP","No","No","3","Yes - More than once a year","Not much difference","Yes","To some extent","6","6","Yes"
"Male","Australia",,"25 to 34","Master's Degree","Maybe","Entry level","36000","1-2 years","Research Assistant","No","Academia","ArcGIS;QGIS","ArcGIS","Primarily","No","Vector","SPSS; NVivo","No","Personal Geodatabase (ESRI)","No",,,"2","Yes - More than once a month","Not much difference","I was, but back in the office now","To some extent","8","10","Don't care"
"Male","Europe",,"35 to 44","Master's Degree","Yes","Mid level","70000","2-5 years","Data Scientist","No","Real Estate","QGIS","QGIS","No","No","50/50","GDAL;PostGIS;Python","Python","PostgreSQL","No",,,"2","No","Not much difference","Yes","Yes","8","8","No"
"Male","Other",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","4000","1-2 years","Surveyor","No","Utilities","QGIS","QGIS",,"InkScape;GIMP","Vector","GIMP","No","None (ShapeFiles baby)","No",,,"Laptop/tablet only","Yes - Most days","Not much difference","No","Yes","10","10","No"
"Male","Europe",,"35 to 44","Master's Degree","Yes","Mid level","32000","11-25 years","Marketing","No","GIS","ArcGIS","ArcGIS","Exclusively","PhotoShop;InDesign","50/50","InDesign","No","File Geodatabase (ESRI)","No",,,"1","No","Not much difference","Yes","To some extent","10","9","Don't care"
"Male","Australia",,"25 to 34","Master's Degree","Maybe","Mid level","55000","5-10 years","Analyst","Yes","GIS","ArcGIS;QGIS","ArcGIS","Primarily","InkScape","Vector","FME;PostGIS;Python;PostGIS","No","File Geodatabase (ESRI)","No",,,"2",,"Negatively","I was, but back in the office now","To some extent","6","3","Don't care"
"Male","United States","Florida","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","55000","2-5 years","Analyst","Yes","Local Government","ArcGIS","ArcGIS","A bit","No","Vector","PyCharm;Python;Oracle","Python","PostgreSQL","University gis cert","No","No","3","No","Positively","I was, but back in the office now","To some extent","7","7","No"
"Male","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","45900","2-5 years","Specialist","No","Local Government","ArcGIS","ArcGIS","A bit","Illustrator","Vector","Access;FME;SQL Server","No","File Geodatabase (ESRI)","No",,,"3","No","Not much difference","Yes","Yes","7","8","No"
"Female","United States",,"25 to 34","Master's Degree","Yes","Mid level","61500","2-5 years","Specialist","Yes","Local Government","ArcGIS","ArcGIS","A bit","No","Vector","Access;SQL Server","No","Oracle","No",,,"2","Yes - More than once a year","Not much difference","Yes","No","8","6","Don't care"
