"Timestamp","Gender","What country do you live in?","If United States, what state?","What is your age?","What is the highest level of education you have completed?","If you obtained more than an Bachelor's (Undergraduate) Degree (like a Masters or PhD), would you recommend it?","Job status","Income level in US Dollars","How long have you been working?","If employed, what is your current job title (without the GIS)?","What industry do you work in?","What desktop GIS software do you use?","What desktop GIS software do you mainly use?","If ArcGIS, are you using Pro?","Do you use any design software to finish your maps?","Is your work primarily vector or raster based?","Apart from GIS software, what other software do you use for your work?","Does your work require programming?","Database of choice?","Do you have a professional certification?","How happy are you with your choice of GIS as profession?","How optimistic are you about the future of GIS as a profession?"
"2019/06/07 6:58:03 PM GMT+1","Female","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","Under $20,000","1-2 years","Intern","Local Government","ArcGIS;QGIS","ArcGIS","Exclusively","No","Vector","Python","Python","File Geodatabase (ESRI)","No",7,6
"2019/06/07 6:58:49 PM GMT+1","Male","Canada",,"45 to 54","Master's Degree","Maybe","Mid level","$75,000 - $100,000","26 or more years","Specialist","Software ","ArcGIS;Google Earth;QGIS","Other","No","Illustrator","Vector","FME;Microstation;PostGIS;Python;R;SQL Server","Python","PostgreSQL","No",9,9
"2019/06/07 6:59:39 PM GMT+1","Male","Portugal",,"25 to 34","Master's Degree","Yes","Mid level","Under $20,000","2-5 years","Research Analyst","Academia","ArcGIS;ENVI;Google Earth;QGIS;Agisoft Photoscan, Pix4d","QGIS","Primarily","InkScape","50/50","GIMP;Pix4D;Python;R","Python","None (ShapeFiles baby)","No",10,7
"2019/06/07 6:59:42 PM GMT+1","Male","Canada","Not United States","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$50,000 - $75,000","2-5 years","Technician","Local Government","ArcGIS;Google Earth","ArcGIS","50/50","No","Vector","FME;Python","Python","SQL Server","No",8,9
"2019/06/07 7:02:48 PM GMT+1","Female","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$50,000 - $75,000","2-5 years","Consultant","Environmental","ArcGIS;Google Earth","ArcGIS","50/50","Illustrator","50/50","Access;Python;SQL Server","Python;SQL","File Geodatabase (ESRI)","No",3,3
"2019/06/07 7:03:16 PM GMT+1","Male","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","$20,000 - $30,000","1-2 years","Consultant","Utilities","ArcGIS;Google Earth;QGIS;Industry purpose built software","ArcGIS","Primarily","No","Raster",,"No","File Geodatabase (ESRI)","No",9,10
"2019/06/07 7:03:23 PM GMT+1","Male","United States","Georgia","25 to 34","Master's Degree","If it is paid for - not out of pocket","Entry level","$50,000 - $75,000","2-5 years","Associate","Civil Engineering","ArcGIS;AutoCAD;Google Earth;Microstation","ArcGIS","No","No","50/50","GIMP","No","None (ShapeFiles baby)","No",6,6
"2019/06/07 7:05:19 PM GMT+1","Female","United States",,"18 to 24","Bachelor's (Undergraduate) Degree",,"Student - University/College","Under $20,000","Not employed.",,,"ArcGIS;ENVI;Google Earth;QGIS;R/Rstudio","ArcGIS","Primarily","Illustrator","50/50","InDesign;Python;R","No","File Geodatabase (ESRI)","No",8,7
"2019/06/07 7:06:27 PM GMT+1","Male","United States",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$50,000 - $75,000","5-10 years","Analyst","Local Government","ArcGIS","ArcGIS","No","No","Raster","Access;SQL Server","No","File Geodatabase (ESRI)","No",7,6
"2019/06/07 7:06:47 PM GMT+1","Male","Hungary","Not United States","25 to 34","Master's Degree","Maybe","Looking for work","Under $20,000","Not employed.",,,"ArcGIS;Google Earth;QGIS","ArcGIS","No","PhotoShop","50/50","FME;Python","No","None (ShapeFiles baby)","No",6,3
"2019/06/07 7:07:26 PM GMT+1","Female","United States","California","25 to 34","Master's Degree","Maybe","Mid level","$50,000 - $75,000","2-5 years","Analyst","Local Government","ArcGIS;ERDAS;Google Earth","ArcGIS","A bit","No","Vector","Access;FME;PyCharm;Python;SQL Server","Python;SQL;JavaScript","SQL Server","No",8,8
"2019/06/07 7:07:31 PM GMT+1","Male","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Mangement","$100,000 - $150,000","2-5 years","Director, GIS","Telecommunications","ArcGIS;AutoCAD;Google Earth;QGIS","QGIS","No","GIMP","Vector","GDAL;GIMP;PostGIS;PyCharm;Python;SQL Server","Python;SQL;JavaScript;Java","PostgreSQL","No",10,10
"2019/06/07 7:09:59 PM GMT+1","Male","United States","Minnesota","25 to 34","Graduate Certificate","Yes","Mid level","$50,000 - $75,000","11-25 years","Analyst","Utilities","ArcGIS;AutoCAD","ArcGIS","50/50","GIMP","Raster",,"SQL","File Geodatabase (ESRI)","No",7,4
"2019/06/07 7:11:02 PM GMT+1","Male","Sweden",,"45 to 54","Master's Degree","Maybe","Mid level","$50,000 - $75,000","11-25 years","Developer","Academia","ArcGIS","ArcGIS","Primarily","No","Vector","FME;GDAL;PostGIS;PyCharm;Python;SQL Server","Python;SQL;.NET;C#;JavaScript;Java","PostgreSQL","No",9,9
"2019/06/07 7:12:15 PM GMT+1","Male","United States","New York","25 to 34","Bachelor's (Undergraduate) Degree","Yes, (have been ""everything but dissertation"" on a masters for like 6 years)","Mid level","$75,000 - $100,000","5-10 years","I'm officially a data analytics specialist (not GIS)","Local Government","ArcGIS;QGIS","ArcGIS","No","No","Vector","Python;SQL Server","Python;SQL","SQL Server","No",8,4
"2019/06/07 7:13:50 PM GMT+1","Male","United States","Arizona","45 to 54","Master's Degree","Yes","Mid level","$100,000 - $150,000","11-25 years","Manager","Local Government","ArcGIS","ArcGIS","A bit","Illustrator","Vector","Access;SQL Server;Illustrator","Python","SQL Server","GISP",8,7
"2019/06/07 7:17:26 PM GMT+1","Female","United States","Texas","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","$75,000 - $100,000","5-10 years","Specialist","Local Government","ArcGIS;Google Earth","ArcGIS","50/50","No","Vector","Access;FME;GIMP;Python;SQL Server","No","SQL Server","No",10,10
"2019/06/07 7:19:22 PM GMT+1","Male","United Kingdom",,"45 to 54","High School or equivalent",,"Mid level","$40,000 - $50,000","26 or more years","Specialist","Environmental","ArcGIS;AutoCAD;Google Earth;MapInfo;QGIS","ArcGIS","No","Illustrator","Vector","InDesign","SQL","File Geodatabase (ESRI)","No",8,8
"2019/06/07 7:24:01 PM GMT+1","Male","United States","California","18 to 24","High School or equivalent",,"Student - University/College","$30,000 - $40,000","1-2 years","Intern","Energy","ArcGIS","ArcGIS","Exclusively","GIMP","50/50","GIMP;Python;R","Python;SQL","File Geodatabase (ESRI)","No",5,5
"2019/06/07 7:26:19 PM GMT+1","Female","United States","New York","18 to 24","Bachelor's (Undergraduate) Degree",,"Mangement","$50,000 - $75,000","2-5 years","Coordinator","Oil and Gas","ArcGIS;SmallWorld;NRG","Other","Primarily","No","50/50","Access;GIMP;SQL Server","No","Personal Geodatabase (ESRI)","No",10,10
"2019/06/07 7:26:25 PM GMT+1","Female","United States","Oklahoma","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$40,000 - $50,000","5-10 years","Specialist","Local Government","ArcGIS","ArcGIS","A bit","No","Vector","Access;InDesign","No","SQL Server","No",8,9
"2019/06/07 7:26:37 PM GMT+1","Male","United States","Virginia","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","$40,000 - $50,000","1-2 years","Analyst","Consulting","ArcGIS;QGIS","ArcGIS","No","No","Vector",,"No","File Geodatabase (ESRI)","No",7,9
"2019/06/07 7:32:21 PM GMT+1","Male","United Kingdom",,"45 to 54","Bachelor's (Undergraduate) Degree",,"Mangement","$50,000 - $75,000","26 or more years","Consultant","Environmental","Google Earth;MapInfo;QGIS","MapInfo",,"No","Vector","Excel, hydraulic modelling applications ","No","None (ShapeFiles baby)","No",5,5
"2019/06/07 7:32:46 PM GMT+1","Male","United States","Minnesota","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","$30,000 - $40,000","1-2 years","Specialist","Public Health","ArcGIS","ArcGIS","A bit","No","Vector",,"No","File Geodatabase (ESRI)","No",8,8
"2019/06/07 7:34:58 PM GMT+1","Female","United States","Utah","25 to 34","Master's Degree","Yes","Mid level","$50,000 - $75,000","5-10 years","Analyst","Forestry","ArcGIS;ERDAS;Google Earth;QGIS;ecognition, metashape","QGIS","A bit","GIMP","Raster","GDAL;GIMP;Python;R;JavaScript","Python;JavaScript;R","none (rasters baby)","No",7,4
"2019/06/07 7:36:02 PM GMT+1","Male","United States","Minnesota","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","$30,000 - $40,000","5-10 years","Support Specialist","IT","ArcGIS","ArcGIS","A bit","No","Vector","Access;Python;SQL Server","Python;SQL","SQL Server","No",5,1
"2019/06/07 7:36:48 PM GMT+1","Male","United States","Georgia","25 to 34","Master's Degree","Yes","Mid level","$50,000 - $75,000","1-2 years","Research Fellow","Public Health","ArcGIS","ArcGIS","No","No","Vector","R;SAS","No","None (ShapeFiles baby)","No",8,8
"2019/06/07 7:38:39 PM GMT+1","Female","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree","Yes","Entry level","$40,000 - $50,000","2-5 years","Specialist","Consulting","ArcGIS;GRASS;QGIS","ArcGIS","A bit","No","50/50","GDAL;Python;R","Python","File Geodatabase (ESRI)","No",9,8
"2019/06/07 7:38:51 PM GMT+1","Male","Netherlands",,"25 to 34","Bachelor's (Undergraduate) Degree","Yes","Student - University/College","Under $20,000","Not employed.",,,"ArcGIS;ERDAS;Google Earth;GRASS;QGIS","ArcGIS","No","PhotoShop","Raster","GDAL;PostGIS;PyCharm;Python;R;SQL Server","Python;SQL;JavaScript;R","PostgreSQL","No",10,10
"2019/06/07 7:39:47 PM GMT+1","Male","United States","New Mexico","18 to 24","Doctorate degree","Yes","Student - University/College","$20,000 - $30,000","Under 1 year","Research Assistant","Education","ArcGIS;Google Earth","ArcGIS","No","PhotoShop","50/50","GDAL;GIMP;InDesign;Python;R","Python","File Geodatabase (ESRI)","No",8,8
"2019/06/07 7:40:32 PM GMT+1","Male","United States","Colorado","25 to 34","Master's Degree","Yes","Mid level","$50,000 - $75,000","2-5 years","Planner 2","Local Government","ArcGIS","ArcGIS","No","Illustrator","50/50","InDesign","No","None (ShapeFiles baby)","No",6,5
"2019/06/07 7:42:17 PM GMT+1","Male","Canada","Not United States","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","$40,000 - $50,000","1-2 years","Analyst","Central Government","ArcGIS;Google Earth;QGIS","ArcGIS","Primarily","No","Vector","FME;GDAL;Python","Python;SQL","File Geodatabase (ESRI)","No",7,3
"2019/06/07 7:45:26 PM GMT+1","Male","United States","Georgia","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$50,000 - $75,000","2-5 years","Analyst","Local Government","ArcGIS;QGIS","ArcGIS","50/50","Illustrator","Vector","PyCharm;Python;SQL Server","Python","File Geodatabase (ESRI)","No",7,8
"2019/06/07 7:47:23 PM GMT+1","Female","United States","Georgia","25 to 34","Master's Degree","Only if you can avoid taking on loads of student debt","Mid level","$50,000 - $75,000","5-10 years","Program Manager","Local Government","ArcGIS;Google Earth","ArcGIS","No","No","Vector","Access;Microstation;Python","Python;SQL","Oracle","GISP",8,7
"2019/06/07 7:47:54 PM GMT+1","Male","United States","Kansas","18 to 24","Bachelor's (Undergraduate) Degree","Maybe","Student - University/College","Under $20,000","1-2 years","Student Worker","Forestry","ArcGIS;ENVI;Google Earth","ArcGIS","A bit","No","50/50",,"No","None (ShapeFiles baby)","No",8,9
"2019/06/07 7:48:34 PM GMT+1","Male","United States","Louisiana","18 to 24","Bachelor's (Undergraduate) Degree",,"Mid level","$30,000 - $40,000","2-5 years","Analyst","Central Government","ArcGIS;Global Mapper;Google Earth;SmallWorld","ArcGIS","No","Illustrator","Vector",,"No","Personal Geodatabase (ESRI)","No",6,3
"2019/06/07 7:49:37 PM GMT+1","Male","Canada",,"35 to 44","2-Year Degree (Technical, Certificate, Associate's, etc)",,"Mangement","$50,000 - $75,000","11-25 years","Manager","Local Government","ArcGIS;AutoCAD;Global Mapper;Google Earth","ArcGIS","No","PhotoShop","50/50","Access;Python;SQL Server","Python;SQL;JavaScript","SQL Server","No",6,4
"2019/06/07 7:49:39 PM GMT+1","Male","United States","Texas","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","$100,000 - $150,000","11-25 years","Consultant","Oil and Gas","ArcGIS","ArcGIS","Primarily","No","50/50",,"Python","Oracle","GISP",10,10
"2019/06/07 7:49:50 PM GMT+1","Female","United States","Oregon","45 to 54","Bachelor's (Undergraduate) Degree",,"Mid level","$75,000 - $100,000","11-25 years","Manager","Utilities","ArcGIS;AutoCAD;Google Earth;QGIS","ArcGIS","A bit","GIMP","Vector","Access;GDAL;GIMP;PostGIS;Python;SQL Server","Python;SQL;.NET","SQL Server","No",9,6
"2019/06/07 7:50:07 PM GMT+1","Male","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$40,000 - $50,000","2-5 years","Analyst","Utilities","ArcGIS;AutoCAD;Google Earth;GRASS;QGIS","ArcGIS","Primarily","No","50/50","FME;GDAL;GIMP;Pix4D;Python;R;SQL Server","Python;SQL;JavaScript","SQL Server","No",6,1
"2019/06/07 7:50:27 PM GMT+1","Male","United States","Pennsylvania","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","$40,000 - $50,000","2-5 years","Analyst","Consulting","ArcGIS;QGIS","ArcGIS","No","No","Vector","Access;Python;R;Stata","R","None (ShapeFiles baby)","No",3,3
"2019/06/07 7:53:16 PM GMT+1","Male","United States","Colorado","35 to 44","Bachelor's (Undergraduate) Degree",,"Senior Level","$75,000 - $100,000","11-25 years","Specialist","Local Government","ArcGIS;Google Earth","ArcGIS","No","No","Vector","Access;GIMP","No","File Geodatabase (ESRI)","No",8,8
"2019/06/07 7:55:13 PM GMT+1","Male","Thailand","Not United States","25 to 34","Bachelor's (Undergraduate) Degree","Maybe","Student - University/College","Under $20,000","Not employed.",,"Academia","AutoCAD;Google Earth;Idrisi;MapInfo;QGIS","QGIS",,"Illustrator","Vector","InDesign","Python","None (ShapeFiles baby)","No",8,10
"2019/06/07 7:57:16 PM GMT+1","Male","United States","California","25 to 34","Bachelor's (Undergraduate) Degree","Graduate certificate was helpful","Mangement","$100,000 - $150,000","5-10 years","Project Manager","Utilities","ArcGIS;Google Earth;QGIS","ArcGIS","A bit","No","Vector","Access;PostGIS;Python;Sqlite and Oracle","Python;SQL","SQLite (SpatiaLite, GeoPackage)","No",8,8
"2019/06/07 7:58:25 PM GMT+1","Female","United States","California","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","$40,000 - $50,000","1-2 years","Research Analyst","Academia","ArcGIS;Google Earth","ArcGIS","Primarily","No","50/50","Access;PyCharm;Python;R","No","File Geodatabase (ESRI)","No",8,8
"2019/06/07 8:03:55 PM GMT+1","Female","United States","Oregon","25 to 34","High School or equivalent",,"Student - University/College","Under $20,000","Not employed.",,,"ArcGIS","ArcGIS","Exclusively","No","Vector",,"No","File Geodatabase (ESRI)","No",7,6
"2019/06/07 8:06:32 PM GMT+1","Male","United States","North Carolina","18 to 24","Bachelor's (Undergraduate) Degree","No","Mid level","$50,000 - $75,000","1-2 years","Specialist","Local Government","ArcGIS","ArcGIS","A bit","No","Vector","Python","Python;SQL;C#","SQL Server","No",7,5
"2019/06/07 8:21:49 PM GMT+1","Male","Finland",,"25 to 34","Master's Degree","Yes","Mid level","$40,000 - $50,000","2-5 years","Analyst","Local Government","ArcGIS;AutoCAD;QGIS","ArcGIS","A bit","GIMP","Vector","GIMP;Python;SQL Server;Autodesk Map3D","Python;SQL;PHP","File Geodatabase (ESRI)","No",9,9
"2019/06/07 8:23:22 PM GMT+1","Male","United States","California","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","$100,000 - $150,000","11-25 years","Developer","Real Estate","ArcGIS;GRASS;QGIS","None","No","No","Vector","GDAL;PostGIS;Python;SQL Server;GeoTrellis","Python;SQL","PostgreSQL","No",8,5
"2019/06/07 8:23:45 PM GMT+1","Male","United States","Texas","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$100,000 - $150,000","11-25 years","Project Manager","Utilities","ArcGIS","ArcGIS","Primarily","No","Vector","Access;FME;Python;SQL Server;Oracle","Python","Oracle","GISP",10,10
"2019/06/07 8:25:44 PM GMT+1","Male","Switzerland",,"35 to 44","High School or equivalent",,"Self employed (Entrepreneur, Freelancer, etc..)","$40,000 - $50,000","11-25 years","Specialist","IT","GRASS;QGIS","QGIS","No","Illustrator","Vector","GIMP;InDesign;PostGIS;Python","Python","None (ShapeFiles baby)","No",5,6
"2019/06/07 8:27:25 PM GMT+1","Male","United States","Michigan","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","$50,000 - $75,000","5-10 years","Technician","Aviation","ArcGIS;AutoCAD;Google Earth;QGIS","AutoCAD","A bit","No","Vector",,"No","File Geodatabase (ESRI)","No",6,8
"2019/06/07 8:29:42 PM GMT+1","Male","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$30,000 - $40,000","2-5 years","Technician","Non-Profit","Google Earth;QGIS","ArcGIS","No","GIMP","50/50","PostGIS;PyCharm;Python;SQL Server","Python;SQL","PostgreSQL","No",5,3
"2019/06/07 8:31:07 PM GMT+1","Male","United States","Washington","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","$75,000 - $100,000","11-25 years","Analyst","Utilities","ArcGIS;AutoCAD;Google Earth","ArcGIS","A bit","No","Vector","Access;GIMP;Python","Python","PostgreSQL","No",5,5
"2019/06/07 8:31:17 PM GMT+1","Male","United States","Massachusetts","18 to 24","Master's Degree","Yes","Student - University/College","Under $20,000","Under 1 year","Intern","Non-Profit","ArcGIS","ArcGIS","No","Illustrator","50/50","Python","No","Personal Geodatabase (ESRI)","No",6,5
"2019/06/07 8:31:22 PM GMT+1","Male","United States","Texas","25 to 34","2-Year Degree (Technical, Certificate, Associate's, etc)",,"Entry level","$50,000 - $75,000","11-25 years","Analyst","Civil Engineering","ArcGIS;AutoCAD;Google Earth","ArcGIS","Primarily","No","Vector","Access","No","File Geodatabase (ESRI)","No",9,10
"2019/06/07 8:34:24 PM GMT+1","Male","United States","Utah","45 to 54","Bachelor's (Undergraduate) Degree",,"Mid level","$75,000 - $100,000","11-25 years","Analyst","Natural Resources","ArcGIS;Google Earth;QGIS","ArcGIS","A bit","PhotoShop","Vector","GDAL;Python;SQL Server","Python;SQL;JavaScript","SQL Server","No",7,4
"2019/06/07 8:37:14 PM GMT+1","Male","United States","Washington","45 to 54","Bachelor's (Undergraduate) Degree","Maybe","Mid level","$50,000 - $75,000","11-25 years","Technician","Local Government","ArcGIS;AutoCAD;Google Earth","ArcGIS","50/50","No","Raster","Access;GIMP;InDesign;SQL Server","No","SQL Server","No",7,9
"2019/06/07 8:38:20 PM GMT+1","Male","United States","New York","25 to 34","Bachelor's (Undergraduate) Degree",,"Student - University/College","Under $20,000","2-5 years","Specialist","Transportation","ArcGIS;ENVI;QGIS","ArcGIS","A bit","No","Vector","PostGIS;Python;SQL Server","Python;SQL;JavaScript","File Geodatabase (ESRI)","No",7,10
"2019/06/07 8:47:36 PM GMT+1","Male","United Kingdom",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$30,000 - $40,000","2-5 years","Specialist","Utilities","ArcGIS;AutoCAD;Google Earth;QGIS;FME ","Other","A bit","No","50/50","FME;GIMP;PostGIS;PyCharm;Python;SQL Server","Python;SQL","SQL Server","No",8,8
"2019/06/07 8:50:59 PM GMT+1","Male","United States","Maryland","25 to 34","2-Year Degree (Technical, Certificate, Associate's, etc)",,"Mangement","$75,000 - $100,000","11-25 years","Manager","Environmental","ArcGIS;QGIS","ArcGIS","A bit","No","Vector","Access;InDesign;Python;SQL Server","Python;SQL;.NET;C#","SQL Server","No",10,7
"2019/06/07 8:54:47 PM GMT+1","Female","United States","West Virginia","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$40,000 - $50,000","2-5 years","Analyst","Civil Engineering","ArcGIS;Global Mapper;Google Earth","ArcGIS","Primarily","No","50/50","Microstation;Pix4D","Python;SQL","SQL Server","No",6,8
"2019/06/07 8:55:12 PM GMT+1","Female","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","$50,000 - $75,000","1-2 years","GIS Cartographer / IT Assistant / Drone Pilot","Geologic Consulting","ArcGIS;Global Mapper;Google Earth","ArcGIS","No","Illustrator","50/50","Microstation;Agisoft Photoscan","No","File Geodatabase (ESRI)","No",7,10
"2019/06/07 8:58:21 PM GMT+1","Female","United States","Maryland","35 to 44","Master's Degree","Yes","Mangement","$100,000 - $150,000","11-25 years","Consultant","GIS","ArcGIS","ArcGIS","A bit","No","Vector",,"Python","File Geodatabase (ESRI)","No",8,8
"2019/06/07 8:59:24 PM GMT+1","Male","United States","Florida","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$50,000 - $75,000","11-25 years","Analyst","Local Government","ArcGIS;Google Earth","ArcGIS","50/50","No","Vector",,"No","File Geodatabase (ESRI)","No",8,6
"2019/06/07 8:59:25 PM GMT+1","Male","United States","North Carolina","25 to 34","Bachelor's (Undergraduate) Degree","No","Mid level","$50,000 - $75,000","2-5 years","Analyst","Transportation","ArcGIS;AutoCAD;Google Earth;GRASS;QGIS","ArcGIS","50/50","Illustrator","50/50","FME;Microstation;Python","No","File Geodatabase (ESRI)","No",10,10
"2019/06/07 9:01:24 PM GMT+1","Male","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$100,000 - $150,000","5-10 years","Developer","Software Development","None","None",,"No","50/50","PostGIS;Python","Python;JavaScript","PostgreSQL","No",4,2
"2019/06/07 9:02:11 PM GMT+1","Female","United States","Colorado","35 to 44","Bachelor's (Undergraduate) Degree","No","Mid level","$75,000 - $100,000","11-25 years","Analyst","Central Government","ArcGIS;Google Earth","ArcGIS","A bit","No","Vector","Access;FME;InDesign;PyCharm;Python;R;SAS;SQL Server","Python;SQL;JavaScript","SQL Server","No",9,9
"2019/06/07 9:03:02 PM GMT+1","Male","United States","Virginia","25 to 34","Master's Degree","Maybe","Mid level","$50,000 - $75,000","2-5 years","Analyst","Environmental","ArcGIS;Global Mapper","ArcGIS","No","Illustrator","50/50","Python","No","File Geodatabase (ESRI)","No",8,10
"2019/06/07 9:06:56 PM GMT+1","Male","United States","Arkansas","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","$30,000 - $40,000","1-2 years","Planner","Local Government","ArcGIS","ArcGIS","No","No","Vector",,"No","None (ShapeFiles baby)","No",8,9
"2019/06/07 9:08:14 PM GMT+1","Male","United States","California","25 to 34","Bachelor's (Undergraduate) Degree","No","Mid level","$50,000 - $75,000","5-10 years","Technician","Telecommunications","ArcGIS;Google Earth;3-GIS","ArcGIS","No","No","Vector","GDAL;PostGIS;Python;SQL Server","Python","File Geodatabase (ESRI)","No",8,10
"2019/06/07 9:08:21 PM GMT+1","Male","United States","Ohio","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","$50,000 - $75,000","Under 1 year","Technician","Local Government","ArcGIS","ArcGIS","Primarily","InkScape","Vector","FME;SQL Server","No","Personal Geodatabase (ESRI)","No",8,10
"2019/06/07 9:09:54 PM GMT+1","Male","United States","Oregon","35 to 44","Bachelor's (Undergraduate) Degree",,"Mangement","$50,000 - $75,000","5-10 years","Consultant","Environmental","ArcGIS;Google Earth","ArcGIS","50/50","No","Vector","Python;SQL Server;Earthsoft's EQuIS","No","File Geodatabase (ESRI)","No",6,5
"2019/06/07 9:11:52 PM GMT+1","Male","United States","Arizona","18 to 24","2-Year Degree (Technical, Certificate, Associate's, etc)",,"Student - University/College","Under $20,000","Under 1 year",,"Forestry","ArcGIS","ArcGIS","Primarily","PhotoShop","Vector","PostGIS;Python;SQL Server","No","None (ShapeFiles baby)","No",6,7
"2019/06/07 9:12:02 PM GMT+1","Male","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","$50,000 - $75,000","Under 1 year","Product Engineer","GIS","ArcGIS;ENVI;Google Earth","ArcGIS","Primarily","Illustrator","Vector","FME;Pix4D;Python;SQL Server","Python;SQL","PostgreSQL","No",9,8
"2019/06/07 9:13:58 PM GMT+1","Male","Canada",,"25 to 34","High School or equivalent",,"Mid level","$50,000 - $75,000","2-5 years","Technician","Local Government","AutoCAD;QGIS","AutoCAD",,"No","Vector","Access;Pix4D;SQL Server","SQL","File Geodatabase (ESRI)","No",8,10
"2019/06/07 9:16:38 PM GMT+1","Male","United States","Washington D.C","25 to 34","Master's Degree","Yes","Mid level","$100,000 - $150,000","5-10 years","Developer","GIS","ArcGIS","ArcGIS","Primarily","No","50/50","PostGIS;Python;JavaScript, Java, TypeScript, Chef","Python;SQL;C#;JavaScript;Java;typescript","PostgreSQL","esri",7,5
"2019/06/07 9:17:26 PM GMT+1","Male","United States","Iowa","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$50,000 - $75,000","2-5 years","Support Specialist","Natural Resources","ArcGIS;Google Earth","ArcGIS","Primarily","No","Vector","Python;SQL Server","Python","SQL Server","No",7,8
"2019/06/07 9:17:53 PM GMT+1","Male","United States","Texas","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","$50,000 - $75,000","11-25 years","Specialist","Oil and Gas","ArcGIS","ArcGIS","A bit","No","Vector","FME","No","File Geodatabase (ESRI)","No",7,7
"2019/06/07 9:18:30 PM GMT+1","Male","United States","Oregon","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","$50,000 - $75,000","5-10 years","Analyst","Forestry","ArcGIS;MapInfo","ArcGIS","A bit","No","Vector","Access;FME;Agisoft Metashape ","No","File Geodatabase (ESRI)","No",9,8
"2019/06/07 9:26:56 PM GMT+1","Male","Colombia",,"25 to 34","Master's Degree","Maybe","Mid level","$20,000 - $30,000","5-10 years","Consultant","Environmental","GRASS","QGIS",,"No","50/50","R","No","PostgreSQL","No",10,8
"2019/06/07 9:33:37 PM GMT+1","Female","United States","South Carolina","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","$30,000 - $40,000","Under 1 year","Analyst","Local Government","ArcGIS;QGIS","ArcGIS","No","No","Vector","SQL Server","No","SQL Server","No",4,4
"2019/06/07 9:38:10 PM GMT+1","Male","United States","Illinois","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","$30,000 - $40,000","Under 1 year","Technician","Utilities","ArcGIS","ArcGIS","No","No","Vector","Access","No","Oracle","No",3,5
"2019/06/07 9:38:36 PM GMT+1","Male","United States","Kansas","35 to 44","Master's Degree","Yes","Mangement","$50,000 - $75,000","5-10 years","Manager","Academia","ArcGIS","ArcGIS","A bit","Illustrator","50/50","GIMP;Matlab;Pix4D;Python;R","Python;JavaScript","File Geodatabase (ESRI)","No",10,9
"2019/06/07 9:43:11 PM GMT+1","Male","United States","Florida","18 to 24","Master's Degree","Yes","Entry level","$30,000 - $40,000","Under 1 year","Technician","Local Government","ArcGIS;QGIS","ArcGIS","50/50","No","Vector",,"No","PostgreSQL","No",7,9
"2019/06/07 9:51:24 PM GMT+1","Male","United States","North Dakota","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$100,000 - $150,000","5-10 years","Analyst","Oil and Gas","ArcGIS;Google Earth","ArcGIS","50/50","No","Vector","PyCharm;Python;R;SQL Server","Python;SQL;Json","SQL Server","No",6,4
"2019/06/07 9:52:32 PM GMT+1","Female","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree","Yes","Mid level","$40,000 - $50,000","5-10 years","Support Specialist","GIS","ArcGIS","ArcGIS","50/50","No","50/50","Access;FME","No","None (ShapeFiles baby)","Advanced Diploma GIS",8,8
